127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000920
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000732
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001133
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001163
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000709
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000765
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000600
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000840
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001472
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/js/typeahead.min.js, HTTP/1.1, 200, 0.000601
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/js/ajax_editor.js, HTTP/1.1, 200, 0.000911
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001139
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000701
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000745
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/images/files_toggle.png, HTTP/1.1, 200, 0.000332
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.007007
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.022242
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.041386
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057445
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/images/save_icon.png, HTTP/1.1, 200, 0.008736
127.0.0.1, 2022-01-08 08:47:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000115
127.0.0.1, 2022-01-08 08:47:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.069035
127.0.0.1, 2022-01-08 08:47:44, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 0.149942
127.0.0.1, 2022-01-08 08:48:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057967
127.0.0.1, 2022-01-08 08:48:45, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 0.508030
127.0.0.1, 2022-01-08 08:49:42, GET, /admin/default/edit/app1/views/default/index.html, HTTP/1.1, 200, 0.010113
127.0.0.1, 2022-01-08 08:49:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.003299
127.0.0.1, 2022-01-08 08:49:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.090183
127.0.0.1, 2022-01-08 08:49:45, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 0.534638
127.0.0.1, 2022-01-08 08:50:20, POST, /admin/default/edit/app1/views/default/index.html, HTTP/1.1, 200, 0.008838
127.0.0.1, 2022-01-08 08:50:22, GET, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.014802
127.0.0.1, 2022-01-08 08:50:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055361
127.0.0.1, 2022-01-08 08:50:45, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 0.492482
