127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.002074
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002152
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002878
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001421
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.003989
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000356
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/js/ajax_editor.js, HTTP/1.1, 200, 0.000401
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/js/typeahead.min.js, HTTP/1.1, 200, 0.001018
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000552
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000680
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/images/files_toggle.png, HTTP/1.1, 200, 0.000816
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/default/edit/nginxtest/controllers/default.py, HTTP/1.1, 200, 0.016593
127.0.0.1, 2022-01-22 12:45:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000386
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.025314
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043592
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.061089
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/images/save_icon.png, HTTP/1.1, 200, 0.000318
127.0.0.1, 2022-01-22 12:45:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.056410
127.0.0.1, 2022-01-22 12:45:49, GET, /nginxtest/appadmin/hooks, HTTP/1.1, 200, 0.152225
127.0.0.1, 2022-01-22 12:46:02, POST, /admin/default/edit/nginxtest/controllers/default.py, HTTP/1.1, 200, 0.012505
127.0.0.1, 2022-01-22 12:46:04, GET, /admin/default/edit/nginxtest/views/default/index.html, HTTP/1.1, 200, 0.013491
127.0.0.1, 2022-01-22 12:46:04, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.004596
127.0.0.1, 2022-01-22 12:46:38, GET, /admin/default/edit/nginxtest/views/layout.html, HTTP/1.1, 200, 0.005588
127.0.0.1, 2022-01-22 12:46:38, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.004062
127.0.0.1, 2022-01-22 12:46:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.090409
127.0.0.1, 2022-01-22 12:46:50, GET, /nginxtest/appadmin/hooks, HTTP/1.1, 200, 0.534024
127.0.0.1, 2022-01-22 12:47:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054654
127.0.0.1, 2022-01-22 12:47:50, GET, /nginxtest/appadmin/hooks, HTTP/1.1, 200, 0.498326
127.0.0.1, 2022-01-22 12:48:19, POST, /admin/default/edit/nginxtest/views/layout.html, HTTP/1.1, 200, 0.012094
127.0.0.1, 2022-01-22 12:48:26, GET, /admin/default/site, HTTP/1.1, 200, 0.029254
127.0.0.1, 2022-01-22 12:48:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000166
127.0.0.1, 2022-01-22 12:48:29, GET, /nginxtest/default/index, HTTP/1.1, 200, 0.048868
127.0.0.1, 2022-01-22 12:48:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001476
127.0.0.1, 2022-01-22 12:48:33, GET, /admin/default/design/nginxtest, HTTP/1.1, 200, 0.462497
127.0.0.1, 2022-01-22 12:48:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000720
